,Team,Weighted Sum
3,Dakcidental  Thumblers ,-19.696470588235293
7,Deshaunorable Discharge,-10.548235294117653
5,Trash Trash,-10.348235294117643
9,Dessert Desperadoes,-8.373529411764709
0,RightInThe McManus,-3.853529411764707
8,Devon Allen’s Hurdle crew,-2.8229411764705907
11,JTT 4EVR,0.369999999999997
2,3 PP Wine,1.1582352941176497
4,Country Road Take Mahomes ,2.9494117647058866
1,Hot Chubb Time  Machine 2,4.781764705882361
10,Sunday Funday,5.864705882352941
6,Corduroy Patterson,8.479999999999997
